Metadata creation date: 31st Oct 2017,,
Metadata original file:  raw_house_completions.csv,,
Metadata original data source: https://data.gov.ie/,,
county,year,number
Meath,2005,3456
Monaghan,2005,435
Offaly,2005,938
Roscommon,2005,1427
Sligo,2005,1213
Tipperary,2005,1949
Waterford,2005,1526
Westmeath,2005,1071
Wexford,2005,2178
Wicklow,2005,1436
Carlow,2006,936
Cavan,2006,1384
Clare,2006,1916
Cork,2006,7857
Donegal,2006,1391
Dublin,2006,17258
Galway,2006,3233
Kerry,2006,1746
Kildare,2006,3759
Kilkenny,2006,1305
Laois,2006,2287
Leitrim,2006,794
Limerick,2006,2563
Longford,2006,1608
Louth,2006,1097
Mayo,2006,1518
Meath,2006,2868
Monaghan,2006,651
Offaly,2006,995
Roscommon,2006,1101
Sligo,2006,1489
Tipperary,2006,2158
Waterford,2006,1278
Westmeath,2006,1480
Wexford,2006,2596
Wicklow,2006,1381
Carlow,2007,747
Cavan,2007,907
Clare,2007,1066
Cork,2007,4337
Donegal,2007,1042
Dublin,2007,9318
Galway,2007,1909
Kerry,2007,1232
Kildare,2007,2083
Kilkenny,2007,727
Laois,2007,1549
Leitrim,2007,265
Limerick,2007,1435
Longford,2007,279
Louth,2007,909
Mayo,2007,1076
Meath,2007,1655
Monaghan,2007,227
Offaly,2007,524
Roscommon,2007,441
Sligo,2007,826
Tipperary,2007,1911
Waterford,2007,944
Westmeath,2007,933
Wexford,2007,1167
Wicklow,2007,842
Carlow,2008,230
Cavan,2008,168
Clare,2008,156
Cork,2008,1740
Donegal,2008,364
Dublin,2008,4550
Galway,2008,728
Kerry,2008,256
Kildare,2008,413
Kilkenny,2008,165
Laois,2008,221
Leitrim,2008,62
Limerick,2008,314
Longford,2008,19
Louth,2008,377
Mayo,2008,240
Meath,2008,560
Monaghan,2008,162
Offaly,2008,193
Roscommon,2008,70
Sligo,2008,163
Tipperary,2008,532
Waterford,2008,310
Westmeath,2008,96
Wexford,2008,351
Wicklow,2008,236
Carlow,2009,60
Cavan,2009,64
Clare,2009,137
Cork,2009,488
Donegal,2009,32
Dublin,2009,1113
Galway,2009,146
Kerry,2009,66
Kildare,2009,196
Kilkenny,2009,67
Laois,2009,30
Leitrim,2009,10
Limerick,2009,84
Longford,2009,10
Louth,2009,124
Mayo,2009,19
Meath,2009,199
Monaghan,2009,51
Offaly,2009,27
Roscommon,2009,45
Sligo,2009,185
Tipperary,2009,97
Waterford,2009,64
Westmeath,2009,88
Wexford,2009,126
Wicklow,2009,215
Carlow,2010,37
Cavan,2010,2
Clare,2010,35
Cork,2010,358
Donegal,2010,67
Dublin,2010,318
Galway,2010,31
Kerry,2010,57
Kildare,2010,114
Kilkenny,2010,28
Laois,2010,28
Leitrim,2010,2
Limerick,2010,55
Longford,2010,3
Louth,2010,50
Mayo,2010,66
Meath,2010,87
Monaghan,2010,14
Offaly,2010,27
Roscommon,2010,9
Sligo,2010,34
Tipperary,2010,83
Waterford,2010,18
Westmeath,2010,14
Wexford,2010,91
Wicklow,2010,52
Carlow,2011,17
Cavan,2011,1
Clare,2011,14
Cork,2011,247
Donegal,2011,5
Dublin,2011,140
Galway,2011,29
Kerry,2011,47
Kildare,2011,45
Kilkenny,2011,43
Laois,2011,10
Leitrim,2011,1
Limerick,2011,34
Longford,2011,0
Louth,2011,22
Mayo,2011,6
Meath,2011,40
Monaghan,2011,8
Offaly,2011,24
Roscommon,2011,4
Sligo,2011,12
Tipperary,2011,26
Waterford,2011,20
Westmeath,2011,5
Wexford,2011,9
Wicklow,2011,25
Carlow,2012,1
Cavan,2012,1
